REAC,,,,,,,,,,,,,,,,
,nu_8j ,nu_ij (i=2),nu_ij (i=1),,pKaj,,nu_ij (i=3),nu_400j (i=4),nu_ij (i=5),nu_ij (i=6),nu_ij (i=7),,nu_ij (i=9),nu_ij (i=10),nu_ij (i=11),nu_ij (i=12)
,,1,-1,,1.8569852,,,1,,-1,,,,,,
,,-1,,,7.171984936,,1,1,,-1,,,,,,
,,,,,13.99567863,,,1,1,-2,,,,,,
,-1,1,,,0.407345042,,,,,,1,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,0.999596663,,,1,,-1,,,-1,1,,
,,,,,1.9,,,1,,-1,,,,-1,1,
,,,,,0.999596663,,,,1,,1,,,,,-1
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
COMP,,,,,,,,,,,,,,,,
,"C0_i, mol/L",zi,,,,,,,,,Comp. i,,,,,
,0,0,,,,,,,,,H2SO3,,,,,
,0,-1,,,,,,,,,HSO3(-),,,,,
,,,,,,,,,,,,,,,,
,0,-2,,,,,,,,,SO3(2-),,,,,
,0.0000001,1,,,,,,,,,H3O(+),,,,,
,0.000000101,-1,,,,,,,,,OH(-),,,,,
,55.3,0,,,,,,,,,H2O,,,,,
,0,1,,,,,,,,,Na(+),,,,,
,5.1,0,,,,,,,,,NaHSO3,,,,,
,0,0,,,,,,,,,H2SO4,,,,,
,0,-1,,,,,,,,,HSO4(-),,,,,
,0,-2,,,,,,,,,SO4(2-),,,,,
,0,0,,,,,,,,,NaOH,,,,,
